ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0006.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0006.jpg,8,208.3481,165.3481,175.3481
M_104_1,M_104_1.mp4_sec_0006.jpg,9,210.6201,168.7199,178.4198
M_104_1,M_104_1.mp4_sec_0006.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,1,210.0259,167.7997,177.4878
M_104_1,M_104_1.mp4_sec_0007.jpg,2,210.5351,167.5351,177.5351
M_104_1,M_104_1.mp4_sec_0007.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,6,207.7753,164.8522,174.7576
M_104_1,M_104_1.mp4_sec_0007.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,8,210.1301,167.1301,177.1301
M_104_1,M_104_1.mp4_sec_0007.jpg,9,208.4464,165.4464,175.4464
M_104_1,M_104_1.mp4_sec_0007.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0008.jpg,1,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0008.jpg,2,208.0399,164.9778,174.9985
M_104_1,M_104_1.mp4_sec_0008.jpg,3,207.8152,164.8152,174.8152
M_104_1,M_104_1.mp4_sec_0008.jpg,4,207.9254,164.9254,174.9254
M_104_1,M_104_1.mp4_sec_0008.jpg,5,207.4642,164.4642,174.4642
M_104_1,M_104_1.mp4_sec_0008.jpg,6,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0008.jpg,7,208.8854,165.8854,175.8854
M_104_1,M_104_1.mp4_sec_0008.jpg,8,207.9231,165.0089,174.9734
M_104_1,M_104_1.mp4_sec_0008.jpg,9,208.6142,165.4885,175.8655
M_104_1,M_104_1.mp4_sec_0008.jpg,10,208.1818,165.1818,175.1818
M_104_1,M_104_1.mp4_sec_0009.jpg,1,208.133,165.0931,175.1256
M_104_1,M_104_1.mp4_sec_0009.jpg,2,209.0103,166.0103,176.0103
M_104_1,M_104_1.mp4_sec_0009.jpg,3,208.7428,165.7428,175.7428
M_104_1,M_104_1.mp4_sec_0009.jpg,4,207.9963,164.9963,174.9963
M_104_1,M_104_1.mp4_sec_0009.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0009.jpg,6,210.1271,167.0207,177.34
M_104_1,M_104_1.mp4_sec_0009.jpg,7,208.912,165.912,175.912
M_104_1,M_104_1.mp4_sec_0009.jpg,8,207.884,164.9091,174.9246
M_104_1,M_104_1.mp4_sec_0009.jpg,9,208.8027,165.8027,175.8027
M_104_1,M_104_1.mp4_sec_0009.jpg,10,208.031,165.031,175.031
M_104_1,M_104_1.mp4_sec_0010.jpg,1,208.6112,165.6112,175.6112
M_104_1,M_104_1.mp4_sec_0010.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0010.jpg,3,208.2712,165.2801,175.2801
M_104_1,M_104_1.mp4_sec_0010.jpg,4,208.116,165.1227,175.1271
M_104_1,M_104_1.mp4_sec_0010.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0010.jpg,6,207.9763,164.9763,174.9763
M_104_1,M_104_1.mp4_sec_0010.jpg,7,209.1072,166.4006,176.3599
M_104_1,M_104_1.mp4_sec_0010.jpg,8,209.2809,166.728,176.6696
M_104_1,M_104_1.mp4_sec_0010.jpg,9,208.068,165.6778,174.9032
M_104_1,M_104_1.mp4_sec_0010.jpg,10,208.1242,165.2062,174.8714
M_104_1,M_104_1.mp4_sec_0011.jpg,1,207.4908,164.4908,174.4908
M_104_1,M_104_1.mp4_sec_0011.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0011.jpg,3,208.5152,165.5152,175.5152
M_104_1,M_104_1.mp4_sec_0011.jpg,4,208.0022,165.0022,175.0022
M_104_1,M_104_1.mp4_sec_0011.jpg,5,207.9431,165.0126,175.0111
M_104_1,M_104_1.mp4_sec_0011.jpg,6,209.1013,166.1013,176.1013
M_104_1,M_104_1.mp4_sec_0011.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0011.jpg,8,208.5188,165.9128,175.8374
M_104_1,M_104_1.mp4_sec_0011.jpg,9,207.4686,164.4686,174.4686
M_104_1,M_104_1.mp4_sec_0011.jpg,10,208.272,165.5277,174.9372
M_104_1,M_104_1.mp4_sec_0012.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0012.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0012.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0012.jpg,4,208.5314,165.5314,175.5314
M_104_1,M_104_1.mp4_sec_0012.jpg,5,208.289,165.289,175.289
M_104_1,M_104_1.mp4_sec_0012.jpg,6,208.1301,165.1301,175.1301
M_104_1,M_104_1.mp4_sec_0012.jpg,7,208.2217,165.3186,175.388
M_104_1,M_104_1.mp4_sec_0012.jpg,8,207.7842,165.2158,174.3947
M_104_1,M_104_1.mp4_sec_0012.jpg,9,208.5477,165.5477,175.5477
M_104_1,M_104_1.mp4_sec_0012.jpg,10,207.9534,164.9534,174.9534
M_104_1,M_104_1.mp4_sec_0013.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0013.jpg,2,209.0495,166.0495,176.0495
M_104_1,M_104_1.mp4_sec_0013.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0013.jpg,4,207.0791,164.0791,174.0791
M_104_1,M_104_1.mp4_sec_0013.jpg,5,207.4656,164.4656,174.4656
M_104_1,M_104_1.mp4_sec_0013.jpg,6,208.5595,165.5595,175.5595
M_104_1,M_104_1.mp4_sec_0013.jpg,7,207.3525,164.3525,174.3525
M_104_1,M_104_1.mp4_sec_0013.jpg,8,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0013.jpg,9,208.1899,165.1899,175.1899
M_104_1,M_104_1.mp4_sec_0013.jpg,10,208.5329,165.5329,175.5329
M_104_1,M_104_1.mp4_sec_0014.jpg,1,207.6415,164.6415,174.6415
M_104_1,M_104_1.mp4_sec_0014.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0014.jpg,3,207.6541,164.6541,174.6541
M_104_1,M_104_1.mp4_sec_0014.jpg,4,208.6748,165.6748,175.6748
M_104_1,M_104_1.mp4_sec_0014.jpg,5,208.5765,165.5765,175.5765
M_104_1,M_104_1.mp4_sec_0014.jpg,6,208.8174,165.9335,175.9424
M_104_1,M_104_1.mp4_sec_0014.jpg,7,208.0177,164.9911,175.0
M_104_1,M_104_1.mp4_sec_0014.jpg,8,208.8928,165.8928,175.8928
M_104_1,M_104_1.mp4_sec_0014.jpg,9,207.6689,165.2971,174.1818
M_104_1,M_104_1.mp4_sec_0014.jpg,10,208.5817,165.7191,175.7088
M_104_1,M_104_1.mp4_sec_0015.jpg,1,207.1988,164.1988,174.1988
M_104_1,M_104_1.mp4_sec_0015.jpg,2,207.6371,164.6371,174.6371
M_104_1,M_104_1.mp4_sec_0015.jpg,3,208.2912,165.2912,175.2912
M_104_1,M_104_1.mp4_sec_0015.jpg,4,208.9387,165.9387,175.9387
